"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/http","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fhttp"
"nodejs","@angular/platform-browser","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","6.1.8","MIT","Copyright (c) 2010-2024 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@ng-bootstrap/ng-bootstrap","3.3.0","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","angular2-text-mask","9.0.0","Unlicense","","https://www.npmjs.com/package/angular2-text-mask"
"nodejs","bootstrap","4.1.1","MIT","Copyright (c) 2011-2024 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","core-js","2.5.7","MIT","Copyright (c) 2014-2024 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","file-saver","2.0.2","MIT","Copyright Copyright 2016 [Eli Grey][1].","https://www.npmjs.com/package/file-saver"
"nodejs","font-awesome","4.7.0","MIT","Copyright (c) 2024 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/font-awesome"
"nodejs","primeicons","1.0.0","MIT","Copyright (c) 2018-2021 PrimeTek","https://www.npmjs.com/package/primeicons"
"nodejs","primeng","6.1.5","MIT","Copyright (c) 2016-2022 PrimeTek","https://www.npmjs.com/package/primeng"
"nodejs","rxjs","6.3.2","Apache-2.0","Copyright (c) 2015-2018 Google, Inc., Netflix, Inc., Microsoft Corp. and contributors","https://www.npmjs.com/package/rxjs"
"nodejs","text-mask-addons","3.8.0","Unlicense","","https://www.npmjs.com/package/text-mask-addons"
"nodejs","text-mask-core","5.1.2","Unlicense","","https://www.npmjs.com/package/text-mask-core"
"nodejs","zone.js","0.8.26","MIT","Copyright (c) 2016-2018 Google, Inc.","https://www.npmjs.com/package/zone.js"
